[2025-09-03 13:21:13] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:30:03] Started worker 4 for 477 emails
[2025-09-03 13:30:03] Started worker 5 for 477 emails
[2025-09-03 13:30:03] Started worker 6 for 477 emails
[2025-09-03 13:30:03] Started worker 7 for 477 emails
[2025-09-03 13:30:03] Started worker 8 for 477 emails
[2025-09-03 13:30:03] Started worker 9 for 477 emails
[2025-09-03 13:30:03] Started worker 10 for 477 emails
[2025-09-03 13:30:03] Started worker 11 for 477 emails
[2025-09-03 13:30:03] Started worker 12 for 477 emails
[2025-09-03 13:30:03] Started worker 13 for 477 emails
[2025-09-03 13:30:03] Started worker 14 for 477 emails
[2025-09-03 13:30:03] Started worker 15 for 477 emails
[2025-09-03 13:30:03] Started worker 16 for 477 emails
[2025-09-03 13:30:03] Started worker 17 for 477 emails
[2025-09-03 13:30:03] Started worker 18 for 477 emails
[2025-09-03 13:30:03] Started worker 19 for 477 emails
[2025-09-03 13:30:03] Started worker 20 for 477 emails
[2025-09-03 13:30:03] Started worker 21 for 477 emails
[2025-09-03 13:30:03] Started worker 22 for 477 emails
[2025-09-03 13:30:03] Started worker 23 for 477 emails
[2025-09-03 13:30:03] Started worker 24 for 477 emails
[2025-09-03 13:30:03] Started worker 25 for 477 emails
[2025-09-03 13:30:03] Started worker 26 for 477 emails
[2025-09-03 13:30:03] Started worker 27 for 477 emails
[2025-09-03 13:30:03] Started worker 28 for 477 emails
[2025-09-03 13:30:03] Started worker 29 for 477 emails
[2025-09-03 13:30:03] Started worker 30 for 477 emails
[2025-09-03 13:30:03] Started worker 31 for 477 emails
[2025-09-03 13:30:03] Started worker 32 for 477 emails
[2025-09-03 13:30:03] Started worker 33 for 477 emails
[2025-09-03 13:30:03] Started worker 34 for 477 emails
[2025-09-03 13:30:03] Started worker 35 for 477 emails
[2025-09-03 13:30:03] Started worker 36 for 477 emails
[2025-09-03 13:30:03] Started worker 37 for 477 emails
[2025-09-03 13:30:03] Started worker 38 for 477 emails
[2025-09-03 13:30:03] Started worker 39 for 477 emails
[2025-09-03 13:30:03] Started worker 40 for 477 emails
[2025-09-03 13:30:03] Started worker 41 for 477 emails
[2025-09-03 13:30:03] Started worker 42 for 477 emails
[2025-09-03 13:30:03] Started worker 43 for 477 emails
[2025-09-03 13:30:03] Started worker 44 for 477 emails
[2025-09-03 13:30:03] Started worker 45 for 477 emails
[2025-09-03 13:30:03] Started worker 46 for 477 emails
[2025-09-03 13:30:03] Started worker 47 for 477 emails
[2025-09-03 13:30:03] Started worker 48 for 477 emails
[2025-09-03 13:30:03] Started worker 49 for 477 emails
[2025-09-03 13:30:03] Started worker 50 for 477 emails
[2025-09-03 13:30:03] Started worker 51 for 477 emails
[2025-09-03 13:30:03] Started worker 52 for 477 emails
[2025-09-03 13:30:03] Started worker 53 for 477 emails
[2025-09-03 13:30:03] Started worker 54 for 477 emails
[2025-09-03 13:30:03] Started worker 55 for 477 emails
[2025-09-03 13:30:03] Started worker 56 for 477 emails
[2025-09-03 13:30:03] Started worker 57 for 477 emails
[2025-09-03 13:30:03] Started worker 58 for 477 emails
[2025-09-03 13:30:03] Started worker 59 for 477 emails
[2025-09-03 13:30:03] Started worker 60 for 477 emails
[2025-09-03 13:30:03] Started worker 61 for 477 emails
